RDO:;RDO NO. 83-TALISAY, CEBU;;;Formerly RDO NO. 60A;
ALL AREAS;BNDED BY BGY BASAK, MONTE VERDE, KALATAGAN, TANGBO, & BONBON;A1;1.00;;
ALL AREAS;;;;;
ALL AREAS;;;;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;KALATAGAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY BGY JUMANGPAS, MONTEVERDE, CAMBUROY, DALAHIKAN & TANGBO;A1;1.00;;
ALL AREAS;;;;;
ALL AREAS;;;;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;MONTEVERDE;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY MUN OF OSLOB, BGY CAMBUROY, KALATAGAN JUMANGPAS & BULANGSURAN;A1;1.00;;
ALL AREAS;;;;;
ALL AREAS;;;;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CALDERON;BNDED BY MJ CUENCO, W JONES & S CABAHUG;GL;0.00;;
M. BALBUENA;W JONES-PROV'L RD;RR;45.00;;
M.J. CUENCO;W JONES-SITIO PINON;RR;45.00;;
PROVINCIAL ROAD;BGY SUBA-S CABAHUG BNDED BY CALDERON, CABAHUG, PROV'L RD & BGY SUBAS CABAHUG-W JONES;GL;0.00;;
SAN JOSE;INTERIOR AREA;A1;1.50;;
SAN MIGUEL;BNDED BY W JONES, MJ CUENCO & CALDERON;GP;55.00;;
S. CABAHUG;W JONES-PROV'L RD;RR;45.00;;
WILLIAM JONES;S CABAHUG-M BALBUENA;CR;63.00;;
WILLIAM JONES;M BALBUENA-COR W. JONES;RR;45.00;;
WILLIAM JONES;COR W. JONES-PROV'L RD;RR;45.00;;
WILLIAM JONES;BNDED BY MJ CUENCO, SAN JOSE & S CABAHUG;RR;45.00;;
WILLIAM JONES;INTERIOR AREA;A;1.50;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;SAN SEBASTIAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;38.00;;
INTERIOR AREA;;A1;1.30;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;SUBA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;35.00;;
INTERIOR AREA;;A1;1.30;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;TANGBO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;35.00;;
INTERIOR AREA;;A1;1.30;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;NORTH POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;BDRY-3RD STREET;CR;105.00;;
NATIONAL ROAD;3RD ST-1ST ST;RR;105.00;;
4TH STREET & 6TH STREET;BDRY-1ST STREET;RR;105.00;;
2ND STREET;BDRY-PROV'L RD;CR;105.00;;
MUNICIPAL ARC ROAD;BDRY-INTERESCTION 2ND & 3RD;RR;105.00;;
3RD STREET;NT'L RD-SHORELINE;RR;105.00;;
3RD STREET;NAT'L RD-INT-INT 2ND & 3RD;RR;100.00;;
PROVINCIAL ROAD;NAT'L RD-2ND STREET;RR;100.00;;
PROVINCIAL ROAD;2ND ST-TANANAS BDRY;RR;100.00;;
SITIO CAPANGIAN;ITNEIOR PORT-TINUBDAN BD;RR;60.00;;
SITIO CAPANGIAN;ITNEIOR PORT-TINUBDAN BD;A;60.00;;
INTERIOR AREAS;;A;60.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;SOUTH POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;PANADTARAN-11TH STREET;CR;105.00;;
NATIONAL ROAD;11TH ST-9TH ST;GP;90.00;;
NATIONAL ROAD;9TH ST-5TH ST;RR;90.00;;
3RD STREET;11TH ST-7TH ST (NORTHERN);RR;90.00;;
MUNICIPAL ARC ROAD;UPPER PORTION;RR;80.00;;
4TH STREET;13TH ST-5TH ST (BACK MUN);RR;80.00;;
6TH STREET;13TH ST-5TH ST (BACK MUN);RR;80.00;;
8TH STREET;11TH ST-5TH ST;RR;80.00;;
13TH STREET;NEAR PUBLIC MARKET (SOUTH);CR;105.00;;
11TH STREET;NAT'L RD-8TH ST;RR;90.00;;
11TH STREET;8TH ST-SHORELINE;RR;80.00;;
9TH STREET;NATIONAL RD-6TH STREET;RR;90.00;;
7TH STREET;NATIONAL RD-8TH ST;RR;90.00;;
5TH STREET;8TH ST-SHORELINE;RR;80.00;;
5TH STREET;NAT'L RD-TINUBDAN BDY;RR;80.00;;
SANGI PROVINCIAL ROAD;MUN ARC RD-TINUBDAN BDY;RR;60.00;;
11TH STREET;;RR;75.00;;
INTERIOR AREAS;;A;30.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;BALUD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY BALUD;50 METERS INWARD;CR;54.00;;
ALONG NATIONAL ROAD;SANGAT-PANADTAAN BDRY;CR;75.00;;
ALONG NATIONAL ROAD;50M DOWN TO SHORELINE;A;45.00;;
ALONG NATIONAL ROAD;50M INT LANTAWAN BDY;A;30.00;;
INTERIOR AREAS;PLAIN;A;24.00;;
INTERIOR AREAS;HILLY MOUNTAINOUS;A1;10.00;;
INTERIOR AREAS;HILLY MOUNTAINOUS;A1;8.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;BALUNGAG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;20KM TO CENTER;A;9.00;;
ALL AREAS;HILLY;A1;7.50;;
ALL AREAS;PASTURE LAND;A1;4.50;;
ALL AREAS;COCOLAND;A1;6.00;;
ALL AREAS;ROCKY & MOUNTAINOUS;A1;3.00;;
LOWLAND BASAK CENTER;ALONG BAANGAY ROAD;A;30.00;;
LOWLAND BASAK CENTER;HILLY;A1;15.00;;
LOWLAND BASAK CENTER;PASTURE LAND;A1;15.00;;
LOWLAND BASAK CENTER;ROCKY LAND;A1;3.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;BASAK;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BUGHO PROPER;;A;21.00;;
BUGHO PROPER;HILLY LAND;A1;9.00;;
BUGHO PROPER;PASTURE LAND;A1;4.75;;
BUGHO PROPER;COCOLAND;A1;9.00;;
INTERIOR AREAS;;A1;5.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;CABATBATAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROPER;CENTER NEAR CHURCH;RR;30.00;;
UPPER PORTION;CENTER TO BGY BUGHO BDY;A;27.50;;
LOWER PORTION;CENTER TO LOWER PART;RR;27.50;;
INTERIOR AREA;SCHOOL TO INTERIOR;A;5.00;;
INTERIOR AREA;HILLY;A1;4.00;;
INTERIOR AREA;MOUNTAINOUS;A1;2.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;GREENHILLS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;SANGAT PROPER;RR;135.00;;
NATIONAL ROAD;ALONG SANGAT SEASHORE;RR;120.00;;
NATIONAL ROAD;INTERIOR OF SANGAT;RR;105.00;;
NATIONAL ROAD;SANGAT TP GREENHILLS;RR;90.00;;
NATIONAL ROAD;SANGAT TO CARCAR;CR;120.00;;
NATIONAL ROAD;UPPER SANGAT;A;60.00;;
NATIONAL ROAD;SANGAT TO BALUD;CR;90.00;;
NATIONAL ROAD;BALUD & SANGAT SEASHORE;I;105.00;;
INTERIOR AREAS;;A;15.00;;
INTERIOR AREAS;HILLY;A1;7.50;;
INTERIOR AREAS;MOUNTAINOUS;A1;3.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;ILAYA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAYROAD;SAN ISIDRO-LOWER ILAYA;RR;60.00;;
BARANGAYROAD;LOWER ILAYA-ILAYA ELEM SC;RR;54.00;;
BARANGAYROAD;ILAYA ELEM SCH-CABATBATAN;A1;15.00;;
BARANGAYROAD;ILAYA-TANANAS;A1;15.00;;
BARANGAYROAD;ILAYA-MUN OF NAGA;A1;30.00;;
BARANGAYROAD;PETALO-INTERIOR AREA;A1;18.00;;
INTERIOR AREAS;;A1;7.50;;
INTERIOR AREAS;HILLY;A1;4.50;;
INTERIOR AREAS;MOUNTAINOUS;A1;3.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;LANTAWAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAYROAD;ALONG BARANGAY ROAD;RR;30.00;;
BARANGAYROAD;INTERIORPART;A;24.00;;
BARANGAYROAD;HILLY PART;A1;18.00;;
BARANGAYROAD;LOWLAND AREA;A1;24.00;;
BARANGAYROAD;COCOLAND;A1;24.00;;
INTERIOR AREAS;PLAIN;A;9.00;;
INTERIOR AREAS;HILLY PART;A1;6.00;;
INTERIOR AREAS;MOUNTAINOUS;A1;3.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;LIBURON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROPER;SANGAT-LOWER LIBURON;RR;25.00;;
PROPER;LOWER LIBURON-BDY BALUNGA;A;21.00;;
PROPER;BGY RD-SCHOOL;A;27.00;;
PROPER;INTERIOR PART;A;15.00;;
PROPER;INTERIOR PART;A1;12.00;;
PROPER;LOWLAND;A1;25.00;;
PROPER;PASTURELAND;A1;15.00;;
PROPER;ROCKYMOUNTAIN;A1;9.50;;
INTERIOR AREAS;PLAIN;A;6.00;;
INTERIOR AREAS;HILLY;A1;4.00;;
INTERIOR AREAS;MOUNTAINOUS;A1;3.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;MAGSICO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;30.00;;
BARANGAY ROAD;INTERIOR PART;A;30.00;;
BARANGAY ROAD;HILLYLAND;A1;15.00;;
BARANGAY ROAD;LOWLAND;A;30.00;;
BARANGAY ROAD;BGY ROAD TO BUGHO BGY RD;A;30.00;;
BARANGAY ROAD;BDRY TO PINAMUNGAJAN RIV;A;20.00;;
INTERIOR AREAS;PLAIN;A;6.00;;
INTERIOR AREAS;HILLY;A1;4.00;;
INTERIOR AREAS;MOUNTAINOUS;A1;3.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;SAN ISIDRO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;BGY RD-TANANAS-ILAYA;RR;105.00;;
NATIONAL ROAD;50M FR NAT'L RD;RR;90.00;;
NATIONAL ROAD;120M TO ILAYA BDY;A;60.00;;
NATIONAL ROAD;120M TO TANANAS BDY;A;45.00;;
NATIONAL ROAD;120M DOWN SHORELINE;A;60.00;;
INTEIOR AREAS;PLAIN/LOWLAND;A;30.00;;
INTEIOR AREAS;HILLY/PASTURE LAND;A1;24.00;;
INTEIOR AREAS;MOUNTAINOUS;A1;18.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;TABIONAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;24.00;;
PROVINCIAL ROAD;UPPERPART TINUBDAN-TABIO;A;15.00;;
PROVINCIAL ROAD;HILLY LAND;A1;12.00;;
PROVINCIAL ROAD;LOWLAND;A;24.00;;
INTERIOR AREAS;PLAIN/LOWLAND;A;6.00;;
INTERIOR AREAS;HILLY/PASTURE LAND;A1;5.00;;
INTERIOR AREAS;MOUNTAINOUS;A1;3.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;TANANAS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;15.00;;
BARANGAY ROAD;LOWLAND/HILLY;A1;9.00;;
BARANGAY ROAD;ROCKY LAND;A1;7.50;;
BARANGAY ROAD;PASTURE LAND;A1;4.25;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;TINUBDAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;CENTER;RR;30.00;;
BARANGAY ROAD;BGY TONGO;A;15.00;;
INTERIOR AREAS;LOWLAND;A1;24.00;;
INTERIOR AREAS;PASTURE LAND;A1;15.00;;
INTERIOR AREAS;ROCKY LAND;A1;15.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;TONGO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;ALONG BARANGAY ROAD;RR;36.00;;
BARANGAY ROAD;INTERIOR PART;A;30.00;;
UPPER TONGO;LOWLAND;A;24.00;;
UPPER TONGO;ROCKY LAND;A1;24.00;;
UPPER TONGO;HILLY LAND;A1;15.00;;
UPPER TONGO;PASTURE LAND;A1;15.00;;
MUNICIPALITY:;SAN FERNANDO;;;;
BARANGAY:;TUBOD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;ALONG BGY RD-TUBOD CENTER;A;15.00;;
INTERIOR AREAS;LOWLAND;A;9.00;;
INTERIOR AREAS;HILLY LAND;A1;15.00;;
INTERIOR AREAS;PSTURE LAND;A1;7.50;;
INTERIOR AREAS;COCOLAND;A1;9.00;;
MUNICIPALITY:;SANTANDER;;;;
BARANGAY:;BUNLAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;COCOLAND;A;1.15;;
BARANGAY ROAD;CORNLAND;A;1.10;;
INTERIOR AREAS;;A;1.00;;
INTERIOR AREAS;;A1;1.00;;
MUNICIPALITY:;SANTANDER;;;;
BARANGAY:;CABUTONGAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;1.05;;
INTERIOR AREAS;;A;1.10;;
INTERIOR AREAS;;A1;1.00;;
MUNICIPALITY:;SANTANDER;;;;
BARANGAY:;CANDAMIANG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;1.10;;
INTERIOR AREAS;;A;1.00;;
INTERIOR AREAS;;A1;1.00;;
MUNICIPALITY:;SANTANDER;;;;
BARANGAY:;CANLUMACAD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;;RR;27.50;;
INTERIOR AREAS;;A;1.10;;
INTERIOR AREAS;;A1;1.05;;
MUNICIPALITY:;SANTANDER;;;;
BARANGAY:;LILOAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;LOOC-CANLUMACAD BDRIES;RR;29.50;;
BARANGAY ROAD;NAT'L RD-LOWER LILOAN;RR;28.00;;
INTERIOR PORTIONS;;A;1.20;;
MUNICIPALITY:;SANTANDER;;;;
BARANGAY:;LIPTONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;1.15;;
INTERIOR AREAS;;A;1.00;;
INTERIOR AREAS;;A1;1.00;;
MUNICIPALITY:;SANTANDER;;;;
BARANGAY:;LOOC;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;LOOC-CANLUMACAD BDRIES;RR;29.00;;
BARANGAY ROAD;NAT'L RD-LOWE LILOAN;A;1.20;;
INTERIOR PORTIONS;;A;1.15;;
MUNICIPALITY:;SANTANDER;;;;
BARANGAY:;PASIL;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;;RR;27.50;;
BARANGAY ROAD;;A;1.15;;
INTERIOR PORTIONS;;A1;1.10;;
MUNICIPALITY:;SANTANDER;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;LOOC BDRY-M J CUENCO ST;RR;30.00;;
NATIONAL ROAD;MJ CURNCO ST-M CULANAG;CR;31.00;;
NATIONAL ROAD;M CULANAG-SAN GABIREL (SO);CR;31.00;;
NATIONAL ROAD;M CULANAG-SAN GABIREL (NO);GL;0.00;;
NATIONAL ROAD;SAN GABRIEL-M LUZANO;CR;31.00;;
NATIONAL ROAD;M LUZNO-ROXAS;RR;30.00;;
NATIONAL ROAD;PASIL BDRY (SO NAT'L RD);A;1.40;;
STA. FILOMENA STREET;J M CUENCO-ROXAS;RR;30.00;;
STA. FILOMENA STREET;SITIO TAGAYTAY-CATALE-SAL;A;1.40;;
P VISAYA STREET;M J CUENCO-JOSE RIZAL;;0.00;;
TANON BOULEVARD;M J CUENCO (TOWARDS CEMETERY TO J RIZAL-STA. FILOMENS;RR;30.00;;
M J CUENCO STREET;TANON BLVD-STA. FILOMENA;RR;30.00;;
NICOLAS BUREROS STREET;TANON BLVD-STA. FILOMENA;RR;30.00;;
MACARIO CULANAG STREET;TANON BLVD-STA. FILOMENA;RR;30.00;;
JOSE RIZAL STREET;MAXINO BUERORA-STA. FILOMENA;RR;30.00;;
SAN GABRIELS TREET;NAT'L RD-STA. FILOMENA;RR;30.00;;
M LUZANOS TREET;NAT'L RD-STA. FILOMENA;RR;30.00;;
OTHER AREAS;;A;1.40;;
MUNICIPALITY:;SANTANDER;;;;
BARANGAY:;TALISAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;CANLUMACAD-SAMBOAN BDRIES;RR;28.50;;
BARANGAY ROAD;CORN/COCOLAND;A;1.10;;
INTERIOR PORTIONS;;A;1.10;;
INTERIOR PORTIONS;;A1;1.05;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;ABUGON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ABUGON NORTH;ALONG BARANGAY ROAD;RR;21.50;;
ABUGON NORTH;REM'NG 200 OR OVER;A;1.35;;
ABUGON SOUTH;ALONG NATIONAL HIWAY;RR;24.50;;
ABUGON SOUTH;REM'ING 100M OR OVER;A;1.50;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;BAE;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
UPPER BAE;INT AREAS FR MUN-BGY RD;A;1.20;;
UPPER BAE;REM'NG 100 OR OVER;A;1.20;;
LOWER BAE;ALONG BGY RD FR MUN BDY;A;1.45;;
LOWER BAE;REM'NG 100 OR OVER;A;1.40;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;BAGACAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
UPPER BAGACAY;BGY BDY-SITIO BDY ALONG NAT'L IWAY;RR;24.50;;
UPPER BAGACAY;REM'NG NAT'L HIWAY FROM;A3;3.00;;
LOWER BAGACAY;ALONG NAT'L HIWAY FROM SITIO BDRY;RR;25.00;;
LOWER BAGACAY;PRAWN FARM AREAS;A3;5.00;;
LOWER BAGACAY;REM'NG 100M OR OVER;A;2.30;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;BAHAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO SACSAC;BGY RD ALONG NAT'L HIWAY;RR;24.00;;
SITIO SACSAC;REM'NG 100 OR OVER;A;2.30;;
UPPER BAHAY;BGY RD ALONG NAT'L HIWAY;RR;20.00;;
UPPER BAHAY;REM'NG 100M OR OVER;A;1.80;;
SITIO CAMINGAWAN;BGY RD ALONG NAT'L HIWAY;RR;21.00;;
SITIO CAMINGAWAN;REM'NG 100M OR OVER;A;2.00;;
LOWER BAHAY;BGY RD ALONG NAT'L HIWAY;RR;25.00;;
LOWER BAHAY;REM'NG 100M OR OVER;A;5.00;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;BANLOT;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
UPPER BANLOT;INT AREAS TO SITIO BDRY;A;1.50;;
UPPER BANLOT;W/IN 200M FR EXSTING RD;A;1.55;;
UPPER BANLOT;INT AREAS TO SITIO BDRY;A;1.80;;
LOWER BANLOT;W/IN 200M FR EXSTING RD;A;1.90;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;BASAK;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO CAOLOSAN;MUN BDY-SITIO BDRY;A;1.40;;
SITIO CAOLOSAN;W/IN 200M ALONG BGY RD;A;1.25;;
LOWER BASAK;BGY RD-MUN BDRY;A;1.00;;
LOWER BASAK;W/IN 200M ALONG BGY RD;A;1.25;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;BATO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
INTERIOR BARANGAY;FORESTAL/HILLY/M'TAIN RD;A;2.00;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;CAGAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO TALAMBAN;PROV'L RD-MUN BDRY;A;2.00;;
SITIO TALAMBAN;REM'NG 100M OR OVER;A;1.75;;
UPPER CAGAY;SITIO BDRY-MUN BDRY;A;1.75;;
UPPER CAGAY;REM'NG 100M OR OVER;A;1.80;;
LOWER CAGAY;BGY BDRY-MUN BDRY;A;1.65;;
LOWER CAGAY;REM'NG 100M OR OVER;A;1.25;;
CENTRAL CAGAY;BARANGAY RD-MUN BDRY;A;1.00;;
CENTRAL CAGAY;REM'NG 100M OR OVER;A;1.35;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;CAN-AGA;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
UPPER CAN-AGA;INTERIOR AREAS;A;1.35;;
UPPER CAN-AGA;W/IN 200 FROM BGY RD;A;1.35;;
UPPER CAN-AGA;INTERIOR AREAS;A;1.50;;
LOWER CAN-AGA;W/IN 200 FROM BGY RD;A;1.50;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;CANDAGUIT;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO PANDAYAN;BDRY-BGY RD ALONG NATL HI;RR;1.40;;
SITIO PANDAYAN;REM'ING 100M OR OVER;A;1.25;;
SITIO TUBIGAN;BDRY-BGY RD ALONG NATL HI;RR;1.40;;
SITIO TUBIGAN;W/IN 200M ALONG BGY RD;A;1.25;;
LOWER CANDAGUIT;BGY BDRY-NAT'L HIWAY;RR;1.00;;
LOWER CANDAGUIT;REM'ING 100M OR OVER;A;1.25;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;CANTOLAROY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;MUNS OF DUMANJUG & ARGAP;A;1.35;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;DUGO-AN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO DUGO-AN;INT AREAS MUN BDRY-BGY RD;A;1.30;;
SITIO DUGO-AN;REM'NG 200 METERS FROM RD;A;1.40;;
LOWER DUGO-AN;INT AREAS MUN BDRY-PROV'L;A;1.40;;
LOWER DUGO-AN;REM'NG 200 METERS FROM RD;A;1.50;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;GUIBANGCOAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
UPPER GUIMBANGCOAN;INT AREAS MUN BDRY-BGY RD;A;1.50;;
UPPER GUIMBANGCOAN;REM'NG 200 METERS OR OVER;A;1.65;;
UPPER GUIMBANGCOAN;INT AREAS MUN BDRY-BGY BDRY;A;1.80;;
LOWER GUIMBANGCOAN;REM'NG 200 METERS OR OVER;A;1.80;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;LAMACAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
UPPER LAMACAN;PROV'L RD-BGY BDRY;RR;24.00;;
UPPER LAMACAN;REM'NG 100 OR OVER;A;2.75;;
UPPER LAMACAN;ALONG PROV'L ROAD;RR;24.00;;
LOWER LAMACAN;REM'NG 100 OR OVER;A;2.75;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;LIBO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
UPPER LAMACAN;PROV'L RD-BGY BDRY;A;1.30;;
UPPER LAMACAN;REM'NG 100 OR OVER;A;1.50;;
UPPER LAMACAN;ALONG PROV'L ROAD;A;1.50;;
LOWER LAMACAN;REM'NG 100 OR OVER;A;1.50;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;LINDOGON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
SITIO LAMPITA (UPPER;BGY RD-BGY BDRY 200M;A;1.80;;
LINDOGON);RAMAINING ALONG BGY RD;A;2.00;;
LOWER LINDOGON;BGY RD-BGY BDRY 200M;A;2.50;;
LOWER LINDOGON;REMAINING 200 METERS OR OVER;A;2.15;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;MAGCAGONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
UPPER MAGCAGONG;200M OR MORE PROV'L RD    SITIO BDRY;A;1.55;;
UPPER MAGCAGONG;ABOUT 200M FROM ROAD;A;1.60;;
LOWER MAGCAGONG;BGY BDRY-SITIO BDRY;A;1.80;;
LOWER MAGCAGONG;ABOUT 200M FROM ROAD;A;1.90;;
MUNICIPALITY:;SIBONGA;;;;
BARANGAY:;MANATAD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
UPPER MANATAD;INT 200/OVER PROV-BGY BD;A;1.50;;
